,shop_id,address,城市,company_registered_address,abbreviation,name,总计,通过数,拒绝数,接受数,接受金额,longitude,latitude
565,19211669,广州市广州市天河区燕岭路13号一二楼,广州市,广州市天河区燕岭路13号一二楼,广美整形,广州广美整形美容医疗门诊部有限公司,86,51,35,51,703759.00元,23.15842,113.32554
566,19211670,无锡市宜兴市宜城街道红塔路188号,无锡市,宜兴市宜城街道红塔路188号,红塔医院,宜兴中西医结合医院（宜兴市红塔医院）,28,19,9,19,250444.00元,31.386963,119.808449
567,19211671,无锡市无锡市崇安区北仓门37号13-1,无锡市,无锡市崇安区北仓门37号13-1,艾菲斯,无锡艾菲斯医疗美容门诊有限公司,34,13,21,13,218600.00元,31.550409,120.308693
568,19211673,保定市河北省保定市莲池区永华南大街与西大街交叉口390号,保定市,河北省保定市莲池区永华南大街与西大街交叉口390号,保叶美思,保定叶美思医疗美容诊所,15,10,5,10,194500.00元,38.86162,115.49599
569,19211675,中山市中山市东区怡华街4-8号2层2卡,中山市,中山市东区怡华街4-8号2层2卡,中山美尔,中山市美尔医疗美容门诊有限公司,37,12,25,12,261900.00元,22.515869,113.398743
570,19211676,台州市浙江省台州市纬三路2-8号一层,台州市,浙江省台州市纬三路2-8号一层,台州美惠,台州市博雅美惠医疗美容整形门诊部有限公司,263,177,86,176,2863240.00元,28.64244,121.42831
571,19211678,宁波市浙江省金华市金东区李渔路以北、东市街以东金华万达广场12幢03号,宁波市,浙江省金华市金东区李渔路以北、东市街以东金华万达广场12幢03号,金华丽都,金华金东丽都整形外科门诊部（普通合伙人）,40,24,16,24,350284.00元,29.090435,119.676956
572,19211679,重庆重庆江北区建新南路18号附17号,重庆,重庆市江北区建新南路18号附17号,诚嘉口腔,重庆牙博士诚嘉口腔医院有限公司,54,40,14,38,504440.00元,29.57286,106.528673
573,19211680,广州市广州市天河区花城大道85号,广州市,广州市天河区花城大道85号,广州微雨,广州天河区洛萱医疗美容门诊有限公司,25,10,15,10,189280.00元,23.12034,113.32146
574,19211681,长沙市长沙市开福区湘雅路街道湘江中路一段160号复地崑玉府D栋116号房,长沙市,长沙市开福区湘雅路街道湘江中路一段160号复地崑玉府D栋116号房,湘亚谷,湖南亚谷医疗美容有限公司,59,32,27,31,644069.00元,28.210205,112.977097
575,19211682,长沙市长沙市雨花区人民中路568号融圣国际10栋,长沙市,长沙市雨花区人民中路568号融圣国际10栋,湘美奥,长沙美奥口腔医院有限公司,15,10,5,10,144505.00元,28.18489,113.00838
576,19211683,天津天津市河东区大直沽中路128号,天津,天津市河东区大直沽中路１２８号,津河东丽,天津河东丽人医院,11,4,7,4,45579.00元,39.10989,117.23779
577,19211684,深圳市深圳市南山区粤海街道后海大道后海花园七号楼一楼东面、二楼整层,深圳市,深圳,易容颜,深圳易容颜医疗美容门诊部有限公司,2,1,1,1,8800.00元,22.513081,113.931198
578,19211685,保定市保定市竞秀区韩北街道办事处翠园社区朝阳北大街485号,保定市,保定市竞秀区韩北街道办事处翠园社区朝阳北大街485号,保定蓝山,保定市竞秀区蓝山医疗美容医院,106,60,46,59,1124708.00元,38.88317,115.46891
579,19211687,绍兴市浙江省绍兴市越城区城南街道高立花园11幢A区1、2,绍兴市,浙江省绍兴市越城区城南街道高立花园11幢A区1、2,绍兴华美,绍兴越城华美医疗门诊部,207,148,59,148,2189101.00元,29.971901,120.577797
580,19211688,南京市南京鼓楼区汉中路8号物金轮天地购中心c203-1号,南京市,南京鼓楼区汉中路8号物金轮天地购中心c203-1号,南京微颜,南京微颜医疗美容诊所有限公司,52,34,18,34,657240.00元,32.04229,118.78063
581,19211689,南通市崇川区江海名苑1幢1202室,南通市,崇川区江海名苑1幢1202室,样佳人,崇川区样佳人医疗美容门诊部,138,46,92,46,929500.00元,32.015308,120.868813
582,19211690,金华市稠江街道滨西路329号,金华市,浙江省义乌市稠江街道滨西路329号,义欧莱美,义乌欧莱美医疗美容医院有限公司,435,289,146,284,4748556.00元,29.286449,120.038918
